Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Piece,Unidentified Artist,18th century,46.133.74,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/144099.jpg
Heart-Shaped Plaque,Unidentified Artist,7th–9th century,2003.24.24,Gold,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP272007.jpg
Cup,Unidentified Artist,late 18th–first half of the 19th century,79.2.728,Porcelain painted in overglaze polychrome enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_728_O1_sf.jpg
"Panel with egret, lotus, and blossoming tree branch
",Unidentified Artist,18th century,x.562,"Silk tapestry (kesi)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14150-043.jpg
Valance,Unidentified Artist,19th century,1971.177.4,Cotton;  on cotton,China,https://images.metmuseum.org/CRDImages/as/mobile-large/198320b.jpg
Figure of a standing lady,Unidentified Artist,12th–13th century,18.56.50,Stoneware with polychrome enamels (Cizhou type ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/39072.jpg
Model of Musician with Flute,Unidentified Artist,Unknown Date,1994.605.71,Stoneware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/272401.jpg
Snuff Bottle with Peony and Bird,Unidentified Artist,Unknown Date,"50.145.174a, b",Painted enamel on copper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP295295.jpg
Plaque with Head,Unidentified Artist,7th–9th century,2002.556.8,Gold,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP271838.jpg
Cup,Unidentified Artist,Unknown Date,91.1.435,Porcelain painted in overglaze polychrome enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/41651.jpg
Bowl with dragons and eight trigrams,Unidentified Artist,early 18th century,79.2.262,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/28153.jpg
