Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
"Album of Miscellaneous Subjects, Leaf 1","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.1,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.1/1975.22.1_web.jpg
Clouds Visiting a Mountain Retreat,"Tao Hong (Chinese, active c. 1610–1640)",1633,1971.19,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1971.19/1971.19_web.jpg
Wine Cup (Jue),Unknown,c. 1400 BC,1982.148,Metalwork,"China, Middle Shang dynasty (c.1600-c.1046 BC), Erligang phase (c. 1600-1400 BC)",https://openaccess-cdn.clevelandart.org/1982.148/1982.148_web.jpg
Scholar Reclining and Watching Rising Clouds; Poem by Wang Wei,"Ma Lin (Chinese, c. 1185–after 1260)",1225–75,1961.421,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1961.421/1961.421_web.jpg
Plate,Unknown,1100s–1200s,1942.665,Ceramic,"Northern China, Northern Song dynasty (960-1127) - Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1942.665/1942.665_web.jpg
Reminiscences of Qinhuai River,"Shitao (Chinese, 1642–1707)",1642–1707,1966.31.7,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1966.31.7/1966.31.7_web.jpg
Squirrels on the Chestnut Tree,"Ge Shuying (Chinese, active 1300s)",1300s,1979.70,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1979.70/1979.70_web.jpg
Tao Yuanming's Return Home,Unknown,1300s,1982.152,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1982.152/1982.152_web.jpg
Tihong,Unknown,1585,1961.420,Lacquer,"China, Ming dynasty (1368-1644), Wanli reign (1572-1620)",https://openaccess-cdn.clevelandart.org/1961.420/1961.420_web.jpg
Spouted Ewer with Handle,Unknown,900s,1948.219,Ceramic,"Northern China, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1948.219/1948.219_web.jpg
