Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Shakyamuni under the Bodhi Tree,Unknown,1600–1650,1971.68,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1971.68/1971.68_web.jpg,Cleveland Art Museum
Vase with Chi-Dragon Handles and Flowers and Birds,Unknown,1736–95,1942.712,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and period (1736-95)",https://openaccess-cdn.clevelandart.org/1942.712/1942.712_web.jpg,Cleveland Art Museum
Roundback Armchair: Lohan Type,Unknown,1600s–1700s,1955.40.1,Furniture and woodwork,"China, Ming dynasty (1368-1644) or Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1955.40.1/1955.40.1_web.jpg,Cleveland Art Museum
Potalaka Guanyin,Unknown,900s,1965.556,Sculpture,"China, Five dynasties (907-960)",https://openaccess-cdn.clevelandart.org/1965.556/1965.556_web.jpg,Cleveland Art Museum
Bell (Bo Zhong),Unknown,early 400s BC,1962.44,Metalwork,"China, Eastern Zhou dynasty (770-256 BC)",https://openaccess-cdn.clevelandart.org/1962.44/1962.44_web.jpg,Cleveland Art Museum
Brush Rest,Unknown,1127–1279,1957.42,Ceramic,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1957.42/1957.42_web.jpg,Cleveland Art Museum
Bird on a Flowering Branch,Unknown,1100s,1985.371,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1985.371/1985.371_web.jpg,Cleveland Art Museum
Incense Burner (Boshan Lu),Unknown,200–100 BC,1986.46.a,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1986.46.a/1986.46.a_web.jpg,Cleveland Art Museum
Incense Burner (Boshan Lu),Unknown,200–100 BC,1986.46.b,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1986.46.b/1986.46.b_web.jpg,Cleveland Art Museum
Carved Lacquer Scroll Box,Unknown,1736–95,1969.32,Lacquer,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1969.32/1969.32_web.jpg,Cleveland Art Museum
Ink Plum,"Peng Xu (Chinese, active 1488–1521)",late 1400s–early 1500s,1970.80,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1970.80/1970.80_web.jpg,Cleveland Art Museum
Cleansing Medicinal Herbs in the Stream on a Spring Day,"Yu Zhiding (Chinese, 1647–c. 1716)",1703,2000.69,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/2000.69/2000.69_web.jpg,Cleveland Art Museum
Wine Cups (Jue),Unknown,c. 1200 BC,1960.78,Metalwork,"China, late Shang dynasty (c.1600-c.1046 BC), Anyang phase (c.1250-1046 BC)",https://openaccess-cdn.clevelandart.org/1960.78/1960.78_web.jpg,Cleveland Art Museum
Footed Platter with Design of Mythical Beasts amid Grapevines,Unknown,700s,1972.39,Silver,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1972.39/1972.39_web.jpg,Cleveland Art Museum
Mirror with Clouds and Nebulae,Unknown,200–100 BC,1995.288,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1995.288/1995.288_web.jpg,Cleveland Art Museum
Cup and Stand,Unknown,1100s,1980.185,Ceramic,"China, Jiangxi province, Jingdezhen, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1980.185/1980.185_web.jpg,Cleveland Art Museum
Cup and Stand,Unknown,1100s,1980.185.a,Ceramic,"China, Jiangxi province, Jingdezhen, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1980.185.a/1980.185.a_web.jpg,Cleveland Art Museum
Cup and Stand (stand),Unknown,1100s,1980.185.b,Ceramic,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1980.185.b/1980.185.b_web.jpg,Cleveland Art Museum
"Bamboo, Rocks and Lonely Orchids","Zhao Mengfu (Chinese, 1254–1322)",1271–1368,1963.515,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1963.515/1963.515_web.jpg,Cleveland Art Museum
The Mountain of Five Cataracts,"Chen Hongshou (Chinese, 1598/99–1652)",1650,1966.366,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1966.366/1966.366_web.jpg,Cleveland Art Museum
